player_id,primary_team_id,primary_team_abbr,all_teams_season,num_teams,games_with_primary_team,season
1631210,1610612752,NYK,"ATL, NYK",2,16,2024-25
1630167,1610612754,IND,IND,1,79,2024-25
1626157,1610612752,NYK,NYK,1,72,2024-25
1642422,1610612747,LAL,LAL,1,9,2024-25
1631247,1610612739,CLE,CLE,1,12,2024-25
1629018,1610612749,MIL,MIL,1,74,2024-25
1631131,1610612762,UTA,UTA,1,14,2024-25
1626167,1610612754,IND,IND,1,72,2024-25
1641816,1610612743,DEN,DEN,1,51,2024-25
1642281,1610612739,CLE,CLE,1,47,2024-25
1630649,1610612749,MIL,MIL,1,22,2024-25
202685,1610612764,WAS,"SAC, WAS",2,49,2024-25
1627832,1610612745,HOU,HOU,1,60,2024-25
1629020,1610612747,LAL,LAL,1,36,2024-25
1630170,1610612759,SAS,SAS,1,64,2024-25
1629216,1610612747,LAL,LAL,1,72,2024-25
1641774,1610612764,WAS,WAS,1,35,2024-25
202696,1610612741,CHI,CHI,1,73,2024-25
1629731,1610612739,CLE,CLE,1,59,2024-25
1630532,1610612753,ORL,ORL,1,60,2024-25
1629021,1610612753,ORL,ORL,1,30,2024-25
1631133,1610612757,POR,POR,1,60,2024-25
1641716,1610612754,IND,IND,1,75,2024-25
1641717,1610612760,OKC,OKC,1,68,2024-25
1630811,1610612737,ATL,ATL,1,31,2024-25
1641775,1610612738,BOS,BOS,1,52,2024-25
1642266,1610612761,TOR,TOR,1,52,2024-25
1642276,1610612748,MIA,MIA,1,64,2024-25
1629023,1610612742,DAL,DAL,1,57,2024-25
1631102,1610612756,PHX,PHX,1,16,2024-25
1630322,1610612744,GSW,"DET, GSW",2,38,2024-25
1630570,1610612751,BKN,BKN,1,44,2024-25
1631212,1610612743,DEN,DEN,1,68,2024-25
1642377,1610612763,MEM,MEM,1,79,2024-25
1641705,1610612759,SAS,SAS,1,46,2024-25
1631104,1610612759,SAS,SAS,1,58,2024-25
201566,1610612743,DEN,DEN,1,75,2024-25
1629632,1610612741,CHI,CHI,1,74,2024-25
1628401,1610612738,BOS,BOS,1,76,2024-25
1641727,1610612751,BKN,BKN,1,20,2024-25
1641715,1610612745,HOU,HOU,1,51,2024-25
1630598,1610612760,OKC,OKC,1,76,2024-25
203952,1610612744,GSW,"GSW, MIA",2,43,2024-25
1631214,1610612765,DET,DET,1,1,2024-25
1630314,1610612742,DAL,DAL,1,33,2024-25
1642262,1610612762,UTA,UTA,1,50,2024-25
1629684,1610612766,CHA,CHA,1,16,2024-25
1631114,1610612760,OKC,OKC,1,69,2024-25
1631119,1610612760,OKC,OKC,1,47,2024-25
1629026,1610612760,OKC,OKC,1,69,2024-25
1631109,1610612766,CHA,CHA,1,44,2024-25
1630172,1610612741,CHI,CHI,1,63,2024-25
1630533,1610612751,BKN,BKN,1,63,2024-25
1629057,1610612757,POR,POR,1,20,2024-25
1631246,1610612763,MEM,MEM,1,27,2024-25
1629627,1610612740,NOP,NOP,1,30,2024-25
1630592,1610612751,BKN,BKN,1,79,2024-25
1630164,1610612754,IND,IND,1,1,2024-25
