Player_ID,full_name,first_name,last_name,Primary_Team_ID,Primary_Team,Primary_Team_Abbr,Games_With_Primary_Team,All_Teams,Num_Teams,Season_Games,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV_ratio
1631303,Justin Minaya,Justin,Minaya,1610612757,Portland Trail Blazers,POR,19,POR,1,19,5.158,0.421,1.105,0.153,0.105,0.526,0.035,0.0,0.105,0.0,0.263,0.263,0.526,0.368,0.316,0.053,0.263,0.632,0.947,1.4
1642434,Riley Minix,Riley,Minix,1610612759,San Antonio Spurs,SAS,1,SAS,1,1,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631169,Josh Minott,Josh,Minott,1610612750,Minnesota Timberwolves,MIN,46,MIN,1,46,6.043,0.957,1.957,0.358,0.304,0.935,0.214,0.37,0.413,0.156,0.261,0.761,1.022,0.391,0.326,0.261,0.239,0.739,2.587,1.636
1642274,Yves Missi,Yves,Missi,1610612740,New Orleans Pelicans,NOP,73,NOP,1,73,26.849,3.685,6.74,0.53,0.0,0.014,0.0,1.74,2.795,0.45,3.493,4.74,8.233,1.356,0.507,1.342,1.123,1.986,9.11,1.207
1642349,Ajay Mitchell,Ajay,Mitchell,1610612760,Oklahoma City Thunder,OKC,36,OKC,1,36,16.639,2.528,5.111,0.449,0.639,1.667,0.331,0.806,0.972,0.407,0.5,1.389,1.889,1.778,0.694,0.111,0.806,1.889,6.5,2.207
1630558,Davion Mitchell,Davion,Mitchell,1610612761,Toronto Raptors,TOR,44,"MIA, TOR",2,74,27.378,3.014,6.432,0.442,1.135,2.851,0.396,0.784,1.135,0.34,0.473,1.784,2.257,4.905,0.973,0.216,1.73,2.5,7.946,2.836
1628378,Donovan Mitchell,Donovan,Mitchell,1610612739,Cleveland Cavaliers,CLE,71,CLE,1,71,31.408,8.239,18.592,0.443,3.282,8.915,0.356,4.197,5.099,0.749,0.803,3.732,4.535,4.986,1.338,0.239,2.099,1.972,23.958,2.376
1630596,Evan Mobley,Evan,Mobley,1610612739,Cleveland Cavaliers,CLE,71,CLE,1,71,30.563,7.113,12.761,0.549,1.197,3.239,0.323,3.113,4.296,0.719,2.31,6.972,9.282,3.183,0.859,1.592,2.042,1.986,18.535,1.559
1642367,Jonathan Mogbo,Jonathan,Mogbo,1610612761,Toronto Raptors,TOR,63,TOR,1,63,20.429,2.476,5.651,0.426,0.27,1.111,0.161,0.952,1.302,0.345,1.73,3.206,4.937,2.317,0.873,0.54,1.111,2.159,6.175,2.086
1628370,Malik Monk,Malik,Monk,1610612758,Sacramento Kings,SAC,65,SAC,1,65,31.6,6.338,14.446,0.434,2.138,6.585,0.295,2.369,2.738,0.662,0.462,3.308,3.769,5.569,0.938,0.585,2.446,2.431,17.185,2.277
1630541,Moses Moody,Moses,Moody,1610612744,Golden State Warriors,GSW,74,GSW,1,74,22.324,3.324,7.676,0.427,1.703,4.554,0.36,1.432,1.797,0.479,0.703,1.851,2.554,1.297,0.797,0.419,0.73,1.568,9.784,1.778
1631386,Tazé Moore,Tazé,Moore,1610612757,Portland Trail Blazers,POR,2,POR,1,2,10.0,1.0,5.0,0.312,0.5,2.0,0.125,0.5,1.0,0.25,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,0.5
1631111,Wendell Moore Jr.,Wendell,Moore Jr.,1610612765,Detroit Pistons,DET,20,"CHA, DET",2,36,13.944,1.639,3.5,0.371,0.389,1.139,0.225,0.5,0.611,0.211,0.833,1.806,2.639,1.167,0.556,0.139,0.75,0.861,4.167,1.556
1629630,Ja Morant,Ja,Morant,1610612763,Memphis Grizzlies,MEM,50,MEM,1,50,30.3,8.08,17.78,0.459,1.76,5.7,0.3,5.26,6.38,0.801,0.68,3.42,4.1,7.28,1.22,0.24,3.7,2.26,23.18,1.968
202693,Markieff Morris,Markieff,Morris,1610612747,Los Angeles Lakers,LAL,8,"DAL, LAL",2,15,11.0,1.4,4.667,0.29,0.6,2.4,0.276,0.333,0.4,0.167,0.2,1.333,1.533,1.4,0.133,0.2,0.333,1.067,3.733,4.2
1628420,Monté Morris,Monté,Morris,1610612756,Phoenix Suns,PHX,45,PHX,1,45,12.711,1.844,4.333,0.389,0.689,1.911,0.264,0.8,0.933,0.289,0.267,1.222,1.489,1.622,0.444,0.067,0.467,0.511,5.178,3.476
1630530,Trey Murphy III,Trey,Murphy III,1610612740,New Orleans Pelicans,NOP,53,NOP,1,53,35.019,7.189,15.83,0.447,2.981,8.264,0.351,3.849,4.34,0.838,0.887,4.17,5.057,3.547,1.057,0.736,1.943,2.113,21.208,1.825
1627749,Dejounte Murray,Dejounte,Murray,1610612740,New Orleans Pelicans,NOP,31,NOP,1,31,32.645,6.258,15.935,0.391,1.677,5.613,0.277,3.29,4.0,0.762,0.548,5.903,6.452,7.355,2.032,0.387,3.419,1.968,17.484,2.151
1627750,Jamal Murray,Jamal,Murray,1610612743,Denver Nuggets,DEN,67,DEN,1,67,36.134,7.925,16.731,0.467,2.328,5.925,0.365,3.254,3.672,0.797,0.672,3.224,3.896,6.015,1.358,0.493,2.06,1.91,21.433,2.92
1631099,Keegan Murray,Keegan,Murray,1610612758,Sacramento Kings,SAC,76,SAC,1,76,34.289,4.789,10.789,0.433,2.026,5.908,0.322,0.789,0.947,0.349,1.921,4.75,6.671,1.434,0.803,0.908,0.789,2.447,12.395,1.817
1631200,Kris Murray,Kris,Murray,1610612757,Portland Trail Blazers,POR,69,POR,1,69,15.087,1.696,4.043,0.339,0.391,1.739,0.149,0.377,0.826,0.16,1.101,1.536,2.638,0.986,0.507,0.246,0.623,0.957,4.159,1.581
1629004,Svi Mykhailiuk,Svi,Mykhailiuk,1610612762,Utah Jazz,UTA,38,UTA,1,38,19.974,3.105,7.947,0.364,1.842,5.342,0.329,0.737,0.921,0.325,0.579,1.789,2.368,2.0,0.5,0.184,1.368,1.132,8.789,1.462
1631250,Pete Nance,Pete,Nance,1610612755,Philadelphia 76ers,PHI,7,"MIL, PHI",2,13,10.615,1.077,2.462,0.288,0.692,1.846,0.216,0.077,0.154,0.038,0.385,1.231,1.615,0.769,0.154,0.154,0.308,1.308,2.923,2.5
1626204,Larry Nance Jr.,Larry,Nance Jr.,1610612737,Atlanta Hawks,ATL,24,ATL,1,24,19.292,3.333,6.458,0.475,1.417,3.167,0.342,0.375,0.542,0.188,0.958,3.333,4.292,1.583,0.833,0.542,0.667,1.542,8.458,2.375
1629614,Andrew Nembhard,Andrew,Nembhard,1610612754,Indiana Pacers,IND,65,IND,1,65,28.969,3.8,8.292,0.469,0.785,2.692,0.28,1.662,2.092,0.526,0.523,2.8,3.323,5.015,1.215,0.169,1.723,2.292,10.046,2.911
1630174,Aaron Nesmith,Aaron,Nesmith,1610612754,Indiana Pacers,IND,45,IND,1,45,24.956,4.267,8.422,0.487,1.867,4.333,0.43,1.622,1.778,0.523,0.822,3.133,3.956,1.2,0.778,0.378,0.822,2.533,12.022,1.459
1641803,Tristen Newton,Tristen,Newton,1610612754,Indiana Pacers,IND,5,"IND, MIN",2,8,2.0,0.125,1.0,0.062,0.0,0.375,0.0,0.125,0.125,0.125,0.25,0.25,0.5,0.25,0.125,0.0,0.25,0.5,0.375,1.0
1627777,Georges Niang,Georges,Niang,1610612739,Cleveland Cavaliers,CLE,51,"ATL, CLE",2,79,21.468,3.62,7.848,0.461,2.101,5.177,0.4,0.582,0.734,0.267,0.595,2.848,3.443,1.405,0.354,0.177,1.038,2.544,9.924,1.354
1630227,Daishen Nix,Daishen,Nix,1610612750,Minnesota Timberwolves,MIN,3,MIN,1,3,4.667,0.0,0.333,0.0,0.0,0.333,0.0,0.333,0.667,0.167,0.0,1.333,1.333,1.0,0.0,0.0,1.333,0.333,0.333,0.75
1630192,Zeke Nnaji,Zeke,Nnaji,1610612743,Denver Nuggets,DEN,57,DEN,1,57,10.684,1.228,2.474,0.397,0.298,0.912,0.156,0.474,0.772,0.187,0.579,1.0,1.579,0.404,0.439,0.667,0.246,1.088,3.228,1.643
1629669,Jaylen Nowell,Jaylen,Nowell,1610612740,New Orleans Pelicans,NOP,8,NOP,1,8,21.0,3.25,9.125,0.319,1.0,3.375,0.317,0.875,1.375,0.5,0.75,1.75,2.5,2.25,0.125,0.5,1.0,1.125,8.375,2.25
203994,Jusuf Nurkić,Jusuf,Nurkić,1610612766,Charlotte Hornets,CHA,26,"CHA, PHX",2,51,20.824,3.294,6.902,0.463,0.627,2.059,0.252,1.667,2.51,0.534,1.667,6.137,7.804,2.255,0.784,0.667,1.902,2.549,8.882,1.186
1626220,Royce O'Neale,Royce,O'Neale,1610612756,Phoenix Suns,PHX,75,PHX,1,75,24.56,3.213,7.6,0.41,2.387,5.88,0.394,0.253,0.347,0.123,0.707,3.947,4.653,2.173,0.893,0.453,0.867,2.013,9.067,2.508
1629643,Chuma Okeke,Chuma,Okeke,1610612755,Philadelphia 76ers,PHI,7,"CLE, PHI",2,9,21.778,2.222,4.444,0.456,1.222,3.111,0.285,0.222,0.333,0.074,2.333,2.889,5.222,1.667,0.556,0.444,0.333,0.556,5.889,5.0
1629006,Josh Okogie,Josh,Okogie,1610612756,Phoenix Suns,PHX,25,"CHA, PHX",2,40,15.675,2.35,5.3,0.416,0.8,2.3,0.265,1.575,2.125,0.359,1.125,1.7,2.825,0.825,1.2,0.45,0.775,1.175,7.075,1.065
1630168,Onyeka Okongwu,Onyeka,Okongwu,1610612737,Atlanta Hawks,ATL,74,ATL,1,74,27.838,5.243,9.243,0.559,0.649,2.0,0.235,2.216,2.919,0.538,2.973,5.946,8.919,2.27,0.932,0.919,1.216,2.608,13.351,1.867
1630171,Isaac Okoro,Isaac,Okoro,1610612739,Cleveland Cavaliers,CLE,55,CLE,1,55,19.2,2.255,4.855,0.474,1.018,2.745,0.342,0.6,0.836,0.25,0.891,1.473,2.364,1.236,0.582,0.291,0.418,1.891,6.127,2.957
1642439,Quincy Olivari,Quincy,Olivari,1610612747,Los Angeles Lakers,LAL,2,LAL,1,2,5.0,0.5,2.5,0.166,0.5,2.5,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,1.0
203482,Kelly Olynyk,Kelly,Olynyk,1610612761,Toronto Raptors,TOR,24,"NOP, TOR",2,44,20.295,3.045,6.091,0.496,0.75,1.795,0.347,1.886,2.455,0.49,1.409,3.273,4.682,2.909,0.75,0.432,1.727,2.795,8.727,1.684
